service_id,panel_id,figure_id,domain,axis_type,rank,n_metrics
svc_054d78ed187cdd9f,fig06_t2,fig06,RETAIL,SERVICE_BRAND,14,1
svc_088809bf9b31bc6a,fig02_t1,fig02,APP,SERVICE_BRAND,9,4
svc_088809bf9b31bc6a,fig04_t1,fig04,APP,SERVICE_BRAND,3,2
svc_088809bf9b31bc6a,fig04_t2,fig04,APP,SERVICE_BRAND,5,1
svc_0ee385d0c964e560,fig06_t1,fig06,RETAIL,SERVICE_BRAND,12,1
svc_0f3bdb2bd0bb891e,fig08_t1,fig08,RETAIL,SERVICE_BRAND,7,3
svc_0f3bdb2bd0bb891e,fig11_t1,fig11,RETAIL,SERVICE_BRAND,1,2
svc_0f3bdb2bd0bb891e,fig11_t2,fig11,RETAIL,SERVICE_BRAND,3,1
svc_112f591a0d47a8d8,fig03_t1,fig03,APP,SERVICE_BRAND,2,2
svc_112f591a0d47a8d8,fig05_t1,fig05,APP,SERVICE_BRAND,1,3
svc_112f591a0d47a8d8,fig05_t2,fig05,APP,SERVICE_BRAND,2,1
svc_12e3942c0495b9a4,fig06_t1,fig06,RETAIL,SERVICE_BRAND,7,1
svc_12e3942c0495b9a4,fig06_t2,fig06,RETAIL,SERVICE_BRAND,2,1
svc_13ed070478ef62c3,fig01_t2,fig01,APP,SERVICE_BRAND,12,1
svc_190b4501e4415d5e,fig02_t1,fig02,APP,SERVICE_BRAND,5,4
svc_22ffba7a86ea9919,fig06_t1,fig06,RETAIL,SERVICE_BRAND,6,1
svc_22ffba7a86ea9919,fig09_t1,fig09,RETAIL,SERVICE_BRAND,1,2
svc_22ffba7a86ea9919,fig11_t1,fig11,RETAIL,SERVICE_BRAND,3,2
svc_22ffba7a86ea9919,fig11_t2,fig11,RETAIL,SERVICE_BRAND,1,1
svc_24e6654bfd1ab85b,fig01_t1,fig01,APP,SERVICE_BRAND,2,1
svc_24e6654bfd1ab85b,fig01_t2,fig01,APP,SERVICE_BRAND,1,1
svc_2af5cef408b64669,fig07_t1,fig07,RETAIL,INDUSTRY_CATEGORY,6,3
svc_2cd43b99c1ed87cf,fig01_t1,fig01,APP,SERVICE_BRAND,13,1
svc_35319a420294ee17,fig01_t1,fig01,APP,SERVICE_BRAND,15,1
svc_35319a420294ee17,fig01_t2,fig01,APP,SERVICE_BRAND,15,1
svc_353f07b932464b82,fig08_t1,fig08,RETAIL,SERVICE_BRAND,3,3
svc_353f07b932464b82,fig10_t1,fig10,RETAIL,SERVICE_BRAND,3,2
svc_353f07b932464b82,fig10_t2,fig10,RETAIL,SERVICE_BRAND,2,1
svc_377983572bd38242,fig06_t2,fig06,RETAIL,SERVICE_BRAND,6,1
svc_377983572bd38242,fig09_t1,fig09,RETAIL,SERVICE_BRAND,2,2
