target_id,family_id,service,attempt_status,terminal_reason,visible_label,accessible_name,label_relation,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,menu_dependency,task_flow_sequence,experienced_flow_sequence,activation_depth,auth_gate_stage,task_control_occlusion,collector_plane,evidence_hash,missing_reason,entry_observation_provenance,collection_run,superseded_runs,entry_geometry_provenance
F1-01,F1,NH농협은행,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,전체메뉴,전체메뉴,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,ROLE_BUTTON,HEADER,NOT_OBSERVED,True,['OPEN_GLOBAL_MENU'],['OPEN_GLOBAL_MENU'],1,UNDETERMINED,NOT_OBSERVED,E,2975595b9a8e38dc2fc184931669b6d26d64e4e0618ec83007678f3acee74cd0,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230,NONE,E_SUPPLEMENT_NO_CANDIDATE
F1-02,F1,KB국민은행,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,전체메뉴,전체메뉴,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,LINK,HEADER,NOT_OBSERVED,True,['OPEN_GLOBAL_MENU'],['OPEN_GLOBAL_MENU'],1,UNDETERMINED,NOT_OBSERVED,E,5f48a90cf287f9596827133ea34054667f768f72f0703c1260c425c983a91587,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230,NONE,E_SUPPLEMENT_NO_CANDIDATE
F1-03,F1,신한은행,ENDPOINT_REACHED,ENDPOINT_REACHED,이체,이체,AX_NOT_INDEPENDENTLY_OBSERVED,0.3155,0.1007,TOP_LEFT,TEXT_LINK,NONE,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,NONE,NOT_OBSERVED,E,f9811f9de9a8af50e6073ef26c746ada0dbeedb3ec7ba9589bc330a03ea5adaa,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230,NONE,E_R3_SUPPLEMENT
F1-04,F1,하나은행,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,e93a8d7ad4e7f571a50a5f099a8a9010f70442ca9ce8d630f686086f4c18c626,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_NO_NARROW_MATCH_IN_DOM,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F1-05,F1,우리은행,TERMINAL_NO_ENDPOINT,AUTH_GATE,개인뱅킹,이체,AX_NOT_INDEPENDENTLY_OBSERVED,0.5103,0.9005,BOTTOM,TEXT_LINK,NONE,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,AT_ENDPOINT,NOT_OBSERVED,E,73aa3e444841c97e0d14e2c4b58a8d74454434d6ef059b905a6298fb57f9d434,"E_DID_NOT_SUPPLY:entry_x_norm,entry_y_norm,entry_zone,reveal_direction,task_control_occlusion,entry_geometry_provenance",B_LEXICON_MATCHER,E-REAL-CENSUS-1230,NONE,E_R3_SUPPLEMENT
F1-06,F1,IBK기업은행,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,06f5f0828e0826724dbbc3eb55647e49a47d553476d7c80ce9d530d9d687e31d,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_NO_NARROW_MATCH_IN_DOM,E-REAL-CENSUS-1230-R2B,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F1-07,F1,SC제일은행,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,메뉴,메뉴,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,BUTTON,HEADER,NOT_OBSERVED,True,['OPEN_GLOBAL_MENU'],['OPEN_GLOBAL_MENU'],1,UNDETERMINED,NOT_OBSERVED,E,2d9654c3337583c98af9757a1d84ee4941561614d1ff5b99689f41d0bce453dc,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230,NONE,E_SUPPLEMENT_NO_CANDIDATE
F1-08,F1,BNK부산은행,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,17환전·해외송금,NOT_OBSERVED,VISIBLE_ONLY,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,BUTTON,NONE,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,53fc50a6e8c609b40ddaac6995e7c14a3dadea64cf95a3edc99a58de61b92c06,"E_DID_NOT_SUPPLY:accessible_name,entry_x_norm,entry_y_norm,entry_zone,reveal_direction,task_control_occlusion,entry_geometry_provenance",B_LEXICON_MATCHER,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F1-09,F1,BNK경남은행,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,주메뉴바로가기,주메뉴바로가기,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,LINK,NONE,NOT_OBSERVED,True,['OPEN_GLOBAL_MENU'],['OPEN_GLOBAL_MENU'],1,UNDETERMINED,NOT_OBSERVED,E,f6b76c8808419ef5d43933daccba6f5c9b8dedbb39e0a31e656f0547e5ba0638,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230,NONE,E_SUPPLEMENT_NO_CANDIDATE
F1-10,F1,iM뱅크,ERROR,FORBIDDEN_ACTION_BOUNDARY,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,c194b864519666688c9741b527ae48f3b49bfb1e1936c17a74f35b512507433c,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_AMBIGUOUS_MULTIPLE_NARROW_MATCHES,E-REAL-CENSUS-1230,NONE,E_SUPPLEMENT_NO_CANDIDATE
