target_id,family_id,service,attempt_status,terminal_reason,visible_label,accessible_name,label_relation,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,menu_dependency,task_flow_sequence,experienced_flow_sequence,activation_depth,auth_gate_stage,task_control_occlusion,collector_plane,evidence_hash,missing_reason,entry_observation_provenance,collection_run,superseded_runs,entry_geometry_provenance
F2-01,F2,G마켓,ENDPOINT_REACHED,ENDPOINT_REACHED,국내산 제철 왕새우1KG🦐 깜짝쿠폰,국내산 제철 왕새우1KG🦐 깜짝쿠폰,AX_NOT_INDEPENDENTLY_OBSERVED,0.459,0.1197,TOP_CENTER,ICON_TEXT,HEADER,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,NONE,NOT_OBSERVED,E,54c8aa7d2da9f7efcd4a56dcef96492ae7c4c271a37bbd6c95723a10bada1e9f,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230,NONE,E_R3_SUPPLEMENT
F2-02,F2,11번가,ERROR,NO_SAFE_ROUTE_SITE,검색하기,검색하기,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,BUTTON,HEADER,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,b70d596b810d5496e57f2b007791312dbcbde51df2c0a3c82cd7e9d2fbb15592,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F2-03,F2,쿠팡,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,ec0701bcc0fa2c7e7919315409ebf36dfa076a0a2379e63af04f1b8da7176ffb,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_NO_NARROW_MATCH_IN_DOM,E-REAL-CENSUS-1230-R2B,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F2-04,F2,네이버쇼핑,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,ab9ba4f8b8129b5f78cd62fd0e525d04492603915ab1bcc7d82dc0ddefe6ca7c,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_NO_NARROW_MATCH_IN_DOM,E-REAL-CENSUS-1230-R2B,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F2-05,F2,SSG.COM,ERROR,NO_SAFE_ROUTE_SITE,검색창 열기,검색창 열기,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,AMBIGUOUS_MULTIPLE_TYPES,HEADER,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,a20e1b2e67b5b9d56b31814287170a4a8ebed4bc5b28d2c8f375b6baa47ae939,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F2-06,F2,롯데ON,ERROR,NO_SAFE_ROUTE_SITE,검색,검색,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,BUTTON,HEADER,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,f9175fa7909658403221bc51bd02a99225a74fa34905497b5e347bf9042e4309,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F2-07,F2,옥션,ERROR,NO_SAFE_ROUTE_SITE,검색,검색,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,BUTTON,FORM,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,2804b3a0d5b25a12c08e144e08f826fb397efc4da6e6f9f08eb40ba95cfbb3e7,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F2-08,F2,GS SHOP,ENDPOINT_REACHED,ENDPOINT_REACHED,검색창 열기,검색창 열기,AX_NOT_INDEPENDENTLY_OBSERVED,0.5718,0.0284,TOP_CENTER,TEXT_LINK,FORM,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,NONE,NOT_OBSERVED,E,dd6615640daf760d465d35a822123e62a3ef6e925a440e8ff2268b5c59c51c2d,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230,NONE,E_R3_SUPPLEMENT
F2-09,F2,CJ온스타일,ERROR,NO_SAFE_ROUTE_SITE,검색페이지로 이동,검색페이지로 이동,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,LINK,HEADER,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,92df0dee87a75d3931a05d246215f36fab46cbb45f3aa1bfc9283374bf6857a5,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F2-10,F2,홈플러스,ERROR,NO_SAFE_ROUTE_SITE,검색,검색,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,BUTTON,HEADER,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,4f679332877ea09fb48119e232de249a88e99284ac56f3d1369d7d5f8f51c2bb,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F3-01,F3,CJ대한통운,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,1b640ec0b9931463f7a187634b2a9c181b587f6e58d9a1178921e60e72640253,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_AMBIGUOUS_MULTIPLE_NARROW_MATCHES,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F3-02,F3,한진택배,TERMINAL_NO_ENDPOINT,AUTH_GATE,예약/조회,예약/조회,AX_NOT_INDEPENDENTLY_OBSERVED,1.0,0.3373,MID,TEXT_LINK,AMBIGUOUS_MULTIPLE_CONTAINERS,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,AT_ENDPOINT,NOT_OBSERVED,E,c8e1d7d11ddf138c9afe26b195f9f0820d45bd52f42948c263d5b22817bf7c36,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230,NONE,E_R3_SUPPLEMENT
F3-03,F3,롯데글로벌로지스,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,6ca31a31ecd6960f230b2c29b2502e38c4252c89acc3b1ce7c13305a2002208d,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_AMBIGUOUS_MULTIPLE_NARROW_MATCHES,E-REAL-CENSUS-1230-R2B,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F3-04,F3,로젠택배,ERROR,NO_SAFE_ROUTE_SITE,배송조회,배송조회,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,LINK,HEADER,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,411252c91874f65ca4dd642aca0181db57842a3624caf135fc67a1988180e71a,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F3-05,F3,우체국택배,ERROR,NO_SAFE_ROUTE_SITE,제작/배달현황 조회,제작/배달현황 조회,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,LINK,NONE,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,fe43a3e8adbb5afe52936e5dab15501c7ad52e86fdb6079b9a52e85cfd2bf189,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F3-06,F3,경동택배,ENDPOINT_REACHED,ENDPOINT_REACHED,경동택배CS센터,영업소조회,AX_NOT_INDEPENDENTLY_OBSERVED,0.8843,0.8519,BOTTOM,TEXT_LINK,NONE,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,NONE,NOT_OBSERVED,E,ead4c77c224e96da3ad036e89d262eb4aa467ce453dc3966bcb19c10ae884ca1,"E_DID_NOT_SUPPLY:entry_x_norm,entry_y_norm,entry_zone,reveal_direction,task_control_occlusion,entry_geometry_provenance",B_LEXICON_MATCHER,E-REAL-CENSUS-1230,NONE,E_R3_SUPPLEMENT
F3-07,F3,대신택배,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,e879eaa09329099f6e9197300111981543b12c2436e355f52702a86a610ab0ce,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_NO_NARROW_MATCH_IN_DOM,E-REAL-CENSUS-1230-R2B,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F3-08,F3,일양로지스,ERROR,NO_SAFE_ROUTE_SITE,예약/조회,예약/조회,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,LINK,NONE,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,cd37cfcf7669b05193b820c08d351d223e34daaac8eada2b91db7b3d46610f7a,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F3-09,F3,합동택배,ERROR,NO_SAFE_ROUTE_SITE,배송조회,배송조회,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,LINK,NONE,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,934f783f6891602ed80e1358c39d7b5656cab8ae9b00b55af3d4433520744872,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F3-10,F3,건영택배,ERROR,NO_SAFE_ROUTE_SITE,화물 배송조회,화물 배송조회,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,LINK,NAV,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,05628dd94bb12c2c7bfb2d70aed5d50cb7834a3f789d361f9624be1904acec63,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F4-01,F4,건강보험심사평가원 병원·약국찾기,TERMINAL_NO_ENDPOINT,TIMEOUT,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",NO_DOM_CAPTURED_BY_E,E-REAL-CENSUS-1230,NONE,E_SUPPLEMENT_NO_CANDIDATE
F4-02,F4,E-Gen 응급의료포털,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,fb38829c6849f6cb5620081246e3a0bf3514419ec65864c97c287edaa456b290,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_AMBIGUOUS_MULTIPLE_NARROW_MATCHES,E-REAL-CENSUS-1230-R2B,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F4-03,F4,예방접종도우미 위탁의료기관 찾기,ERROR,NO_SAFE_ROUTE_SITE,예방접종 관리 위탁의료기관찾기 국가예방접종사업에 참여하는 의료기관을 조회할 수 있습니다.,예방접종 관리 위탁의료기관찾기 국가예방접종사업에 참여하는 의료기관을 조회할 수 있습니다.,AX_NOT_INDEPENDENTLY_OBSERVED,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,NOT_OBSERVABLE_FROM_STATIC_DOM,LINK,NONE,NOT_OBSERVED,False,['SELECT_FUNCTION'],['SELECT_FUNCTION'],1,UNDETERMINED,NOT_OBSERVED,E,3d919792af6c4b28b4cec0920e34ff0afb2daa30437b2e5a6abb271cf450daac,"E_DID_NOT_SUPPLY:reveal_direction,task_control_occlusion,entry_geometry_provenance",ANCHOR_ON_E_LABEL,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F4-04,F4,e보건소 보건기관 찾기,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,92170750108aa7bbe0951478d68e3b8995a4de61b5e41ee37c76960b33d404ad,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_AMBIGUOUS_MULTIPLE_NARROW_MATCHES,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
F4-05,F4,중앙치매센터 치매안심센터 찾기,TERMINAL_NO_ENDPOINT,COLLECTOR_ZERO_CANDIDATE,NOT_OBSERVED,NOT_OBSERVED,NONE,NA_NUMERIC_UNOBSERVED,NA_NUMERIC_UNOBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,False,[],[],0,UNDETERMINED,NOT_OBSERVED,E,da39abcbc729df10868dac7ec6c80f622937b5a401b28ecf788b8a12d3b57483,"E_DID_NOT_SUPPLY:visible_label,accessible_name,entry_x_norm,entry_y_norm,entry_zone,entry_control_type,nav_container_type,reveal_direction,task_control_occlusion,entry_geometry_provenance",POSTHOC_AMBIGUOUS_MULTIPLE_NARROW_MATCHES,E-REAL-CENSUS-1230-R2,E-REAL-CENSUS-1230,E_SUPPLEMENT_NO_CANDIDATE
