# ============================================================================
# INVALIDATED — 어떤 용도로도 사용하지 마라
# ============================================================================
# 무효 사유: 이 파일은 A7 `UNSOURCED_INCOMPATIBLE_PANEL_SET` 으로 판정된 파생 xlsx
#            (출처 미상, creator=openpyxl, 문서속성 전무)에서 파생됐다.
#            판정 근거는 sources/wiseapp/authority_manifest.json 의
#            legacy_asset_assessment 를 보라. 요약하면 그 xlsx 는 원문과 값이 어긋난
#            같은 패널이 아니라 애초에 다른 패널 집합이다.
# 오염 증거: 이 파일의 panels 컬럼에 '월평균 사용자 Top10', '리테일 INDEX Top20' 같은
#            원문에 존재하지 않는 패널명이 들어 있다. 원문(A1)의 대응 패널은
#            각각 TOP15 이며 Top10/Top20 이 아니다.
# 금지 범위: 모집단 정의, 대조군 구성, 보정, 표본 추출, 커버리지 산정 — 전부 금지.
#            셀 단위로 고쳐 재사용하는 것도 금지한다(두 패널 집합의 융합이 된다).
# 보존 이유: 무엇이 왜 폐기됐는지 추적 가능해야 하므로 삭제하지 않고 여기 남긴다.
# 무효 처리: 2026-08-26 / exec-agent(C009) / 적대적 감사 + 오케스트레이터 재결
# 원본 위치: research/landing_accessibility/state/category_feasibility_matrix.csv (미추적 상태였음)
# ============================================================================
# 추가: comparison_tier 가 전부 TIER_C 인데, 그 판정의 입력인 certified_n / url_review_pending_n 이 위 오염된 패널 집합에서 나온 서비스 목록에 기반한다.
#       즉 '집단 비교 불가' 라는 결론 자체가 잘못된 모집단 위에서 계산됐다.
# ---------------------------------------------------------------------------
source_category,total_source_rows,canonical_service_n,web_service_landing_n,certified_n,noncertified_n,url_review_pending_n,measurement_eligible_n,comparison_tier,reason
BUY_RESERVE,29,26,25,1,24,1,25,TIER_C,인증1 그룹 n=1 — 집단 비교 불가
TRANSFER_ENTRY,8,7,4,0,4,3,4,TIER_C,인증1 그룹 n=0 — 집단 비교 불가
COMMUNITY_PARTICIPATION,7,5,4,0,4,1,4,TIER_C,인증1 그룹 n=0 — 집단 비교 불가
SEARCH_INFO,5,3,2,0,2,1,2,TIER_C,인증1 그룹 n=0 — 집단 비교 불가
CULTURE_EDU,3,2,2,0,2,0,2,TIER_C,인증1 그룹 n=0 — 집단 비교 불가
MOBILITY_MAP,3,2,1,0,1,1,1,TIER_C,인증1 그룹 n=0 — 집단 비교 불가
HEALTH_WELFARE,2,1,1,0,1,0,1,TIER_C,인증1 그룹 n=0 — 집단 비교 불가
OTHER_UTILITY,1,1,0,0,0,1,0,TIER_C,인증1 그룹 n=0 — 집단 비교 불가
PUBLIC,1,1,1,0,1,0,1,TIER_C,인증1 그룹 n=0 — 집단 비교 불가
