service_id,canonical_service_key,name,domain,axis_type,panels,source_rows,best_raw_rank,best_norm_rank,mean_norm_rank,web_target_group_id,web_eligibility_status
svc_46e5a43370f75308,danggeun,당근,APP,SERVICE_BRAND,5,8,1,0.0,0.6619,wtg_46e5a43370f75308,NOT_ASSESSED
svc_517b8047eb5be716,nonghyup_hanaro_mart,농협하나로마트,RETAIL,SERVICE_BRAND,5,8,2,0.1429,0.4413,wtg_517b8047eb5be716,NOT_ASSESSED
svc_d5ae5426eac23877,monimo,모니모,APP,SERVICE_BRAND,4,9,1,0.0,0.1696,wtg_d5ae5426eac23877,NOT_ASSESSED
svc_22ffba7a86ea9919,costco,코스트코,RETAIL,SERVICE_BRAND,4,6,1,0.0,0.3393,wtg_22ffba7a86ea9919,NOT_ASSESSED
svc_e1fadb214cde51c0,cashwalk,캐시워크,APP,SERVICE_BRAND,3,7,4,0.2143,0.463,wtg_e1fadb214cde51c0,NOT_ASSESSED
svc_8fd5d30f8b1d707b,hana_bank,하나은행,APP,SERVICE_BRAND,3,7,3,0.5,0.7619,wtg_8fd5d30f8b1d707b,NOT_ASSESSED
svc_b728911c9782edb8,hyundai_card,현대카드,APP,SERVICE_BRAND,3,7,4,0.7143,0.7381,wtg_b728911c9782edb8,NOT_ASSESSED
svc_fb3d1841dddfd982,nh_cok_bank,NH콕뱅크,APP,SERVICE_BRAND,3,7,1,0.0,0.1071,wtg_fb3d1841dddfd982,NOT_ASSESSED
svc_088809bf9b31bc6a,samsung_card,삼성카드,APP,SERVICE_BRAND,3,7,3,0.5,0.6905,wtg_088809bf9b31bc6a,NOT_ASSESSED
svc_49a5eca8b58f7270,11st,11번가,APP,SERVICE_BRAND,3,6,2,0.3333,0.6111,wtg_49a5eca8b58f7270,NOT_ASSESSED
svc_112f591a0d47a8d8,gmarket_app,G마켓,APP,SERVICE_BRAND,3,6,1,0.0,0.2037,wtg_f9fbd771ffcdbd42,NOT_ASSESSED
svc_ff3ee504792f6cfc,samsung_internet_browser,삼성 인터넷 브라우저,APP,SERVICE_BRAND,3,6,6,0.3571,0.4048,wtg_ff3ee504792f6cfc,NOT_ASSESSED
svc_4feab7e61bf642e8,cj_onstyle,CJ온스타일,RETAIL,SERVICE_BRAND,3,6,1,0.0,0.3611,wtg_4feab7e61bf642e8,NOT_ASSESSED
svc_e268b0ad5a2d6ece,gs_homeshopping_gsshop,GS홈쇼핑/GS Shop,RETAIL,SERVICE_BRAND,3,6,3,0.4444,0.6481,wtg_e268b0ad5a2d6ece,NOT_ASSESSED
svc_5c614fc99631ce5e,home_and_shopping,홈앤쇼핑,RETAIL,SERVICE_BRAND,3,6,2,0.1111,0.3704,wtg_5c614fc99631ce5e,NOT_ASSESSED
svc_353f07b932464b82,hyundai_homeshopping_hmall,현대홈쇼핑/현대Hmall,RETAIL,SERVICE_BRAND,3,6,2,0.2222,0.3241,wtg_353f07b932464b82,NOT_ASSESSED
svc_95e22b9aff7196b3,ns_homeshopping,NS홈쇼핑,RETAIL,SERVICE_BRAND,3,6,1,0.0,0.3333,wtg_95e22b9aff7196b3,NOT_ASSESSED
svc_0f3bdb2bd0bb891e,top_mart,탑마트,RETAIL,SERVICE_BRAND,3,6,1,0.0,0.5556,wtg_0f3bdb2bd0bb891e,NOT_ASSESSED
svc_e22ebedb0e6c205f,coupang_retail,쿠팡,RETAIL,SERVICE_BRAND,3,4,1,0.0,0.3333,wtg_5b8c59f6fd9839f7,NOT_ASSESSED
svc_65f15ce8fee25b24,band,밴드,APP,SERVICE_BRAND,2,5,6,0.3571,0.5,wtg_65f15ce8fee25b24,NOT_ASSESSED
svc_ad44f9ade6b9b551,samsung_calculator,삼성 계산기,APP,SERVICE_BRAND,2,5,8,0.5,0.5714,wtg_ad44f9ade6b9b551,NOT_ASSESSED
