service_id,canonical_service_key,name,domain,axis_type,panels,source_rows,best_raw_rank,best_norm_rank,mean_norm_rank,web_target_group_id,web_eligibility_status
svc_60d4d22e3809f780,tmap,티맵,APP,SERVICE_BRAND,2,5,3,0.1429,0.3571,wtg_60d4d22e3809f780,NOT_ASSESSED
svc_bbdefa2950f49882,google,Google,APP,SERVICE_BRAND,2,3,3,0.1429,0.2937,wtg_bbdefa2950f49882,NOT_ASSESSED
svc_377983572bd38242,daiso,다이소,RETAIL,SERVICE_BRAND,2,3,2,0.25,0.3036,wtg_377983572bd38242,NOT_ASSESSED
svc_fdce1294fac3dfdb,shinsegae_department_store,신세계백화점,RETAIL,SERVICE_BRAND,2,3,4,0.5714,0.6607,wtg_fdce1294fac3dfdb,NOT_ASSESSED
svc_9390ef32addf32bf,chrome,Chrome,APP,SERVICE_BRAND,2,2,5,0.2857,0.3571,wtg_9390ef32addf32bf,NOT_ASSESSED
svc_79cd0e07c1eac5dc,coupang_app,쿠팡,APP,SERVICE_BRAND,2,2,7,0.4286,0.5357,wtg_5b8c59f6fd9839f7,NOT_ASSESSED
svc_699a5e2f3f410152,kakaotalk,카카오톡,APP,SERVICE_BRAND,2,2,1,0.0,0.0357,wtg_699a5e2f3f410152,NOT_ASSESSED
svc_8349e143ed01f677,naver_app,네이버,APP,SERVICE_BRAND,2,2,3,0.1429,0.1786,wtg_6d5510a695d0a614,NOT_ASSESSED
svc_35319a420294ee17,toss,토스,APP,SERVICE_BRAND,2,2,15,1.0,1.0,wtg_35319a420294ee17,NOT_ASSESSED
svc_24e6654bfd1ab85b,youtube,YouTube,APP,SERVICE_BRAND,2,2,1,0.0,0.0357,wtg_24e6654bfd1ab85b,NOT_ASSESSED
svc_c5285b96b598a08b,baemin,배달의민족,RETAIL,SERVICE_BRAND,2,2,13,0.8571,0.8571,wtg_c5285b96b598a08b,NOT_ASSESSED
svc_e67be79550661604,cu,CU,RETAIL,SERVICE_BRAND,2,2,3,0.1429,0.3214,wtg_e67be79550661604,NOT_ASSESSED
svc_7f6f1aa6dd218d4d,emart,이마트,RETAIL,SERVICE_BRAND,2,2,4,0.2143,0.4286,wtg_7f6f1aa6dd218d4d,NOT_ASSESSED
svc_12e3942c0495b9a4,gs25,GS25,RETAIL,SERVICE_BRAND,2,2,2,0.0714,0.25,wtg_12e3942c0495b9a4,NOT_ASSESSED
svc_7ce399cd76c70efa,naver_naverpay,네이버/네이버페이,RETAIL,SERVICE_BRAND,2,2,2,0.0714,0.25,wtg_6d5510a695d0a614,NOT_ASSESSED
svc_91b952863c62993d,daum,다음,APP,SERVICE_BRAND,1,4,1,0.0,0.0,wtg_91b952863c62993d,NOT_ASSESSED
svc_e296af221a5f7128,kb_starbanking,KB스타뱅킹,APP,SERVICE_BRAND,1,4,15,1.0,1.0,wtg_e296af221a5f7128,NOT_ASSESSED
svc_95967b50683649f2,nh_smart_banking,NH스마트뱅킹,APP,SERVICE_BRAND,1,4,13,0.8571,0.8571,wtg_95967b50683649f2,NOT_ASSESSED
svc_64d30ef262d8782d,shinhan_sol_bank,신한 SOL뱅크,APP,SERVICE_BRAND,1,4,14,0.9286,0.9286,wtg_64d30ef262d8782d,NOT_ASSESSED
svc_190b4501e4415d5e,v3_mobile_plus,V3 Mobile Plus,APP,SERVICE_BRAND,1,4,5,0.2857,0.2857,wtg_190b4501e4415d5e,NOT_ASSESSED
svc_2af5cef408b64669,industry_convenience_store,편의점,RETAIL,INDUSTRY_CATEGORY,1,3,6,0.5556,0.5556,,EXCLUDED_INDUSTRY_AXIS
svc_412589798229c678,industry_delivery,배달,RETAIL,INDUSTRY_CATEGORY,1,3,10,1.0,1.0,,EXCLUDED_INDUSTRY_AXIS
svc_903a71c3a24e4116,industry_department_store_outlet,백화점/아울렛,RETAIL,INDUSTRY_CATEGORY,1,3,3,0.2222,0.2222,,EXCLUDED_INDUSTRY_AXIS
svc_7e16a52529c5b629,industry_electronics,전자기기,RETAIL,INDUSTRY_CATEGORY,1,3,7,0.6667,0.6667,,EXCLUDED_INDUSTRY_AXIS
svc_92e05e8212e443a2,industry_food,식품,RETAIL,INDUSTRY_CATEGORY,1,3,9,0.8889,0.8889,,EXCLUDED_INDUSTRY_AXIS
svc_c23db7aed7ecd624,industry_food_beverage,식음료,RETAIL,INDUSTRY_CATEGORY,1,3,8,0.7778,0.7778,,EXCLUDED_INDUSTRY_AXIS
svc_77c78a1555cf28ae,industry_home_shopping,홈쇼핑,RETAIL,INDUSTRY_CATEGORY,1,3,4,0.3333,0.3333,,EXCLUDED_INDUSTRY_AXIS
svc_bc65e77baaea207c,industry_internet_shopping,인터넷 쇼핑,RETAIL,INDUSTRY_CATEGORY,1,3,1,0.0,0.0,,EXCLUDED_INDUSTRY_AXIS
svc_b6a2bad4a8d88e77,industry_offline_mart,오프라인 마트,RETAIL,INDUSTRY_CATEGORY,1,3,2,0.1111,0.1111,,EXCLUDED_INDUSTRY_AXIS
svc_a6b8f11674c80b5f,industry_travel_transport,여행/교통,RETAIL,INDUSTRY_CATEGORY,1,3,5,0.4444,0.4444,,EXCLUDED_INDUSTRY_AXIS
svc_ef06dc942ef3ccc9,lotte_himart,롯데하이마트,RETAIL,SERVICE_BRAND,1,3,9,0.8889,0.8889,wtg_ef06dc942ef3ccc9,NOT_ASSESSED
svc_888d37f34b5d3aaa,lotte_homeshopping,롯데홈쇼핑,RETAIL,SERVICE_BRAND,1,3,6,0.5556,0.5556,wtg_888d37f34b5d3aaa,NOT_ASSESSED
svc_7594fc1d91ec9188,nc_dept_newcore_outlet,NC백화점/뉴코아아울렛,RETAIL,SERVICE_BRAND,1,3,10,1.0,1.0,wtg_7594fc1d91ec9188,NOT_ASSESSED
svc_cdce1ffd6b1b1e24,device_care,디바이스 케어,APP,SERVICE_BRAND,1,2,10,1.0,1.0,wtg_cdce1ffd6b1b1e24,NOT_ASSESSED
svc_fcf244c9ad878906,google_photos,Google 포토,APP,SERVICE_BRAND,1,2,8,0.7778,0.7778,wtg_fcf244c9ad878906,NOT_ASSESSED
svc_f322b894ee95c181,kakaomap,카카오맵,APP,SERVICE_BRAND,1,2,6,0.5556,0.5556,wtg_f322b894ee95c181,NOT_ASSESSED
svc_b8b226f9fe32539a,kb_pay,KB Pay,APP,SERVICE_BRAND,1,2,3,0.2222,0.2222,wtg_b8b226f9fe32539a,NOT_ASSESSED
svc_e7bb158c1c8d9fe7,market_kurly,마켓컬리,RETAIL,SERVICE_BRAND,1,2,3,0.5,0.5,wtg_e7bb158c1c8d9fe7,NOT_ASSESSED
svc_a215c45b2cc585ca,adot_call,에이닷 전화,APP,SERVICE_BRAND,1,1,14,0.9286,0.9286,wtg_a215c45b2cc585ca,NOT_ASSESSED
svc_5ede56738376a8c5,instagram,Instagram,APP,SERVICE_BRAND,1,1,8,0.5,0.5,wtg_5ede56738376a8c5,NOT_ASSESSED
svc_ed7b9bea21def8f8,my_files,내 파일,APP,SERVICE_BRAND,1,1,14,0.9286,0.9286,wtg_ed7b9bea21def8f8,NOT_ASSESSED
svc_efda6e0b8457d63c,naver_map,네이버지도,APP,SERVICE_BRAND,1,1,9,0.5714,0.5714,wtg_efda6e0b8457d63c,NOT_ASSESSED
svc_13ed070478ef62c3,netflix,Netflix,APP,SERVICE_BRAND,1,1,12,0.7857,0.7857,wtg_13ed070478ef62c3,NOT_ASSESSED
svc_2cd43b99c1ed87cf,samsung_notes,삼성 노트,APP,SERVICE_BRAND,1,1,13,0.8571,0.8571,wtg_2cd43b99c1ed87cf,NOT_ASSESSED
svc_dd5061eb74e2d4d4,samsung_wallet,삼성 월렛,APP,SERVICE_BRAND,1,1,11,0.7143,0.7143,wtg_dd5061eb74e2d4d4,NOT_ASSESSED
svc_5beeafeac2e27eae,tiktok,TikTok,APP,SERVICE_BRAND,1,1,11,0.7143,0.7143,wtg_5beeafeac2e27eae,NOT_ASSESSED
svc_ddb7aefefe0273b4,tiktok_lite,TikTok Lite,APP,SERVICE_BRAND,1,1,4,0.2143,0.2143,wtg_ddb7aefefe0273b4,NOT_ASSESSED
svc_51484a735cdb487b,compose_coffee,컴포즈커피,RETAIL,SERVICE_BRAND,1,1,15,1.0,1.0,wtg_51484a735cdb487b,NOT_ASSESSED
svc_054d78ed187cdd9f,coupang_eats,쿠팡이츠,RETAIL,SERVICE_BRAND,1,1,14,0.9286,0.9286,wtg_054d78ed187cdd9f,NOT_ASSESSED
svc_be1e6feb78e5ef03,emart24,emart24,RETAIL,SERVICE_BRAND,1,1,8,0.5,0.5,wtg_be1e6feb78e5ef03,NOT_ASSESSED
svc_e4a6c04cbf9d9421,gmarket_auction,G마켓/옥션,RETAIL,SERVICE_BRAND,1,1,10,0.6429,0.6429,wtg_f9fbd771ffcdbd42,NOT_ASSESSED
svc_0ee385d0c964e560,homeplus,홈플러스,RETAIL,SERVICE_BRAND,1,1,12,0.7857,0.7857,wtg_0ee385d0c964e560,NOT_ASSESSED
svc_ccb9754c97fa7341,hyundai_department_store,현대백화점,RETAIL,SERVICE_BRAND,1,1,11,0.7143,0.7143,wtg_ccb9754c97fa7341,NOT_ASSESSED
svc_ccd84811932b237b,kakao_t,카카오T,RETAIL,SERVICE_BRAND,1,1,9,0.5714,0.5714,wtg_ccd84811932b237b,NOT_ASSESSED
svc_9b353f64ce509d5a,korean_air,대한항공,RETAIL,SERVICE_BRAND,1,1,15,1.0,1.0,wtg_9b353f64ce509d5a,NOT_ASSESSED
svc_dd2cec4c1fa2beec,lotte_department_store,롯데백화점,RETAIL,SERVICE_BRAND,1,1,5,0.2857,0.2857,wtg_dd2cec4c1fa2beec,NOT_ASSESSED
svc_88cb7f1e54f26500,lotte_mart,롯데마트,RETAIL,SERVICE_BRAND,1,1,14,0.9286,0.9286,wtg_88cb7f1e54f26500,NOT_ASSESSED
svc_ea031f85e857140e,mega_coffee,메가커피,RETAIL,SERVICE_BRAND,1,1,12,0.7857,0.7857,wtg_ea031f85e857140e,NOT_ASSESSED
svc_8d71ef6dc3fca6b0,paris_baguette_pariscroissant,파리바게뜨/파리크라상,RETAIL,SERVICE_BRAND,1,1,11,0.7143,0.7143,wtg_8d71ef6dc3fca6b0,NOT_ASSESSED
svc_8195b68ac17e42a3,seven_eleven,세븐일레븐,RETAIL,SERVICE_BRAND,1,1,4,0.2143,0.2143,wtg_8195b68ac17e42a3,NOT_ASSESSED
