"# 시간제한 수집 종료 시점의 acquisition state. **서비스 접근성 결과가 아니다.** MEASUREMENT/COLLECTOR LIMITED 는 사이트에 대한 진술이 아니라 수집기에 대한 진술이며, FORBIDDEN_ACTION_BOUNDARY 는 collector 가 경계에서 멈춘 것이다."
# mart_sha256=5290e0c306ff7a11375f8da1ee0439e4a424559f18e7a6a662588e46be8f5caf  rows=28715bytes
group,terminal_reason,overall,F1,F2,F3,F4,F5
USABLE PATH EVIDENCE,ENDPOINT_REACHED,6/50,1/10,2/10,1/10,0/10,2/10
USABLE PATH EVIDENCE,AUTH_GATE,2/50,1/10,0/10,1/10,0/10,0/10
ROUTE NOT REACHED BY COLLECTOR,NO_SAFE_ROUTE_SITE,16/50,0/10,6/10,5/10,4/10,1/10
MEASUREMENT / COLLECTOR LIMITED,COLLECTOR_ZERO_CANDIDATE,21/50,7/10,2/10,3/10,4/10,5/10
MEASUREMENT / COLLECTOR LIMITED,TIMEOUT,2/50,0/10,0/10,0/10,2/10,0/10
MEASUREMENT / COLLECTOR LIMITED,NO_SAFE_ROUTE_UNVERIFIED_CANDIDATE_COUNT,2/50,0/10,0/10,0/10,0/10,2/10
MEASUREMENT / COLLECTOR LIMITED,FORBIDDEN_ACTION_BOUNDARY,1/50,1/10,0/10,0/10,0/10,0/10
TOTAL,,50/50,10/10,10/10,10/10,10/10,10/10
